Organization Name,Founded Year,Industries,Headquarters Location,Description,CB Rank (Company),Headerquarters Regions,Diversity Spotlight (US Only),Estimated Revenue Range,Operating Status,Exit Date,Closed Date,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Actively Hiring,Investor Type,Investment Stage,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top Five Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Monthly Visits,Average Visits (6 Months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Active Tech Count,Number of Apps,Download Last 30 Days,Total Product Active,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class,IT Spend,Most Recent Valuation Range,Date of Most Recent Valuation,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (Week),Number of Alumni,Number of Private Contacts,Number of Private Notes,Tags
Rice University,1912,"Education, Service Industry, Universities","Houston, Texas, United States",Rice University is a private research university focused on providing undergraduate education services.,"10,180","Greater Houston Area, Southern US",,,Active,,,,www.rice.edu/,https://twitter.com/riceuniversity,https://www.facebook.com/RiceUniversity,,,,"1,101",,"Rice University is a private research university located in Houston, Texas, United States. It is mainly focused on providing undergraduate education.
The university is organized into eleven residential colleges and eight schools of academic study including the Wiess School of Natural Sciences, the George R. Brown School of Engineering, the School of Social Sciences, and the School of Humanities. Graduate programs are offered through the Jesse H. Jones Graduate School of Business, School of Architecture, Shepherd School of Music, and Susanne M. Glasscock School of Continuing Studies. Rice University students are bound by the strict Honor Code, which is enforced by a uniquely student-run Honor Council.
Rice University is noted for its applied science programs in the fields of artificial heart research, structural chemical analysis, signal processing, space science, and nanotechnology. It was ranked first in the world in materials science research by the Times Higher Education (THE) in 2010. The university is also noted for its entrepreneurial activities and has been recognized as one of the top ranked business incubators in the world by the Stockholm-based UBI Index for both 2013 and 2014.
Rice University is a member of the Association of American Universities. Currently, it has approximately 3,900 undergraduates and 2,600 graduate students from the U.S. and 76 countries or regions.
The university was established in 1912 and was named after William Marsh Rice, an American businessman who bequeathed his fortune to found Rice University.",,University Program,,,,,,231,"Education, Other",1,William Marsh Rice,,4,,2022-08-19,"$1,500,000.0",Grant,,,,"$10,600,000.0","US Department of Commerce, Economic Development Administation, National Science Foundation, Laura and John Arnold Foundation",3,3,,,,,,,,,Private,,,,,,,,,1,"15,891",,-1.0,-0.4,1.0,4,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","1,769","2,914,508","2,509,049.17",-0.09%,666,43.84%,4.6,34.91%,53.62%,6.03%,"47,259","3,927",9.06%,15,8,16,,29,0,Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,,,,,4,5,,1,,,,,,430,,,
GEMS Education,1959,"E-Learning, EdTech, Education, Higher Education","London, England, United Kingdom",GEMS Education is a pioneering education company.,,,,,Active,,,,gemseducation.com/,https://twitter.com/gemseducation,https://www.facebook.com/gemseducation,https://www.linkedin.com/company/gems-education,socialmedia@gemseducation.com,,71,,"GEMS Education is an education company that advances all through their schools, consulting practices, and charitable foundations. Through its Varkey Foundation it campaigns for, and support initiatives that change lives through education. GEMS Education is located in the U.A.E. and it was founded in 1959.",,,,,,,,2,"Education, Software",1,Sunny Varkey,,3,Private Equity,2020-08-04,"$150,000,000.0",Debt Financing,,Private Equity,,"$150,000,000.0","CDC Group, CVC Capital Partners",,2,,,,,,,,,Private,,,,,,,,,1,"15,930",,-0.2,-0.1,-0.4,46,"Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Pro Services, Sales",311,"317,679","391,168.17",-10.32%,496,-30.82%,5.57,4.66%,31.41%,-12.38%,"240,915","29,817",14.12%,43,2,683,,,,,,,,,1,1,1,,1,1,,,,2,,,
Dartmouth College,1769,"Education, Higher Education, Universities","Hanover, New Hampshire, United States","Founded in 1769, Dartmouth is a member of the Ivy League and consistently ranks among the world's greatest academic institutions.","15,884","East Coast, New England, Northeastern US",,,Active,,,,dartmouth.edu,http://twitter.com/dartmouth,http://www.facebook.com/Dartmouth,http://www.linkedin.com/edu/dartmouth-college-18839,contact@dartmouth.edu,(800) 490-7010,661,,"Founded in 1769, Dartmouth is a member of the Ivy League and consistently ranks among the world's greatest academic institutions.
Dartmouth has forged a singular identity for combining its deep commitment to outstanding undergraduate liberal arts and graduate education with distinguished research and scholarship in the Arts &amp; Sciences and its three leading professional schools—the Geisel School of Medicine, Thayer School of Engineering, and the Tuck School of Business.",,,,,,11-50,,678,"Education, Other",2,"Andrew Meckel, Eleazar Wheelock",,4,,2022-08-11,,Grant,,,,"$60,000,000.0","US Department of Energy, Scott Stuart, George F. Baker Trust, Berry Family Foundation, Allison Magnuson",4,6,,,,,,,,,Private,,,,,,,,,,"15,986",,0.1,5.7,5.8,114,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","1,222","1,307,848","2,060,327.83",-12.31%,571,20.21%,2.7,-3.43%,63.35%,28.37%,"87,119","13,728",18.71%,13,1,,94,31,0,Medical Or Veterinary Science; Hygiene,,,,,,,,,,,,,,"1,562",,,
Case Western Reserve University,1826,"Education, Universities","Cleveland, Ohio, United States",Case Western Reserve University is a research-oriented university.,"12,265","Great Lakes, Midwestern US",,,Active,,,,www.case.edu,https://twitter.com/cwru,https://www.facebook.com/casewesternreserve,https://www.linkedin.com/edu/case-western-reserve-university-19091,case-news@case.edu,216.368.2000,"1,094",,"Case Western Reserve University is located in Cleveland's University Circle, the 500-acre, park-like home of more than 40 cultural, medical, educational, religious, and social service institutions. The only independent, research-oriented university in a region bounded by Pittsburgh and Rochester on the east, Nashville on the south, and Chicago on the west, Case Western Reserve holds membership in the Association of American Universities, and is fully accredited by the Higher Learning Commission of the North Central Association of Colleges and Schools and by several nationally recognized professional accrediting associations.",,,,Private (Non-Profit),,10001+,,163,"Education, Other",1,Leonard Case Jr.,,14,,2022-08-25,,Grant,,,,"$48,980,000.0","National Institutes of Health, US Department of Energy, National Cancer Institute, U.S. Department of Defense, National Institute on Drug Abuse (NIDA)",9,11,,,,,,,,,Private,,,,,,,,,4,"16,343",,-0.6,5.3,5.2,18,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","2,024","2,145,941","1,872,946.17",28.01%,655,18.44%,3.93,-3.46%,49.32%,2.32%,"59,923","-7,172",-10.69%,150,2,,59,"1,261",21,Medical Or Veterinary Science; Hygiene,Scientific and technological services,,,,1,1,1,,,,,,,361,,,
Wichita State University,1895,"Aerospace, Education","Wichita, Kansas, United States",Wichita State University is a school.,"16,545",Midwestern US,,,Active,,,,www.wichita.edu,,,,,(316) 978-6427,224,,"Wichita State University is the perfect school for students looking to
combine a traditional college atmosphere with the freedom of a big city.
Students applying to WSU must submit a non-refundable $30 application fee
when submitting their application for admissions. Additionally, the cost
of tuition varies depending on whether or not you are a Kansas resident.
Wichita State provides, on average, more than $100 million in grants,
scholarships and student loans each year. WSU also offers three of the
state’s largest individual undergraduate scholarships: the Harry Gore
Memorial Scholarships and the Clay Barton Scholarship.
WSU offers academics through several colleges, including the College of
Education, College of Engineering, College of Fine Arts, College of
Health Professions, Fairmount College of Liberal Arts and Sciences,
Pre-Professional College, and the W. Frank Barton School of Business.
With a focus on experience-based learning, Wichita State focuses on real
world learning, not just academic testing. This school believes that by
preparing students for future jobs, they are also expanding their
experience, thus making them more marketable to prospective employers.
The Rhatigan Student Center is the hub of student life at WSU. Located in
the center of campus, the Rhatigan Center houses places to eat, study,
hang out with friends, shop, relax or get a haircut. Students looking to
get involved in campus organizations will find a diverse assortment of
leadership, Greek, volunteer and student organizations to choose from.",,,,,,10001+,,67,"Education, Science and Engineering",1,Joseph Homer Parker,,1,,2022-09-02,"$51,400,000.0",Grant,,,,"$51,400,000.0","US Department of Commerce, Economic Development Administation",1,1,,,,,,,,,Private,,,,,,,,,1,"16,651",,-0.2,9.6,9.6,6,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales","1,530","1,441,371","1,513,966.67",60.27%,"1,074",51.69%,4.74,26.27%,45.06%,-22.91%,"81,434","-26,753",-24.73%,152,7,42,27,61,36,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,,,,,,,,,,163,,,
University of Toronto,1827,"Education, Higher Education, Primary Education, Secondary Education","Toronto, Ontario, Canada","The University of Toronto is a public research university that offers programs in humanities, life Sciences, physical, and more.","12,656",Great Lakes,,$1B to $10B,Active,,,,www.utoronto.ca,http://twitter.com/UofTNews,http://www.facebook.com/universitytoronto,http://www.linkedin.com/company/university-of-toronto,,,"3,445",,"Established in 1827, the University of Toronto has one of the strongest research and teaching faculties in North America, presenting top students at all levels with an intellectual environment unmatched in depth and breadth on any other Canadian campus. 
The University of Toronto is committed to being an internationally significant research university, with undergraduate, graduate and professional programs of excellent quality.
The University of Toronto is dedicated to fostering an academic community in which the learning and scholarship of every member may flourish, with vigilant protection for individual human rights, and a resolute commitment to the principles of equal opportunity, equity and justice.
Within the unique university context, the most crucial of all human rights are the rights of freedom of speech, academic freedom, and freedom of research. And we affirm that these rights are meaningless unless they entail the right to raise deeply disturbing questions and provocative challenges to the cherished beliefs of society at large and of the university itself.
It is this human right to radical, critical teaching and research with which the University has a duty above all to be concerned; for there is no one else, no other institution and no other office, in our modern liberal democracy, which is the custodian of this most precious and vulnerable right of the liberated human spirit.",,University Program,,,,,,"1,054",Education,,,,2,,2022-05-04,"$150,000.0",Grant,,,,"$74,809,571.0","AcCELLerate ON, Heather Reisman, Gerald Schwartz",3,3,,,,,,,,,Private,,,,,,,,,6,"16,805",,-0.6,-1.3,-2.6,15,"Engineering, Finance, Human Resources, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales","5,263","10,247,627","11,807,246",-12.47%,"1,062",8.59%,4.34,-1.41%,42.23%,-0.02%,"16,552","3,276",24.68%,19,29,"1,257",,33,0,Medical Or Veterinary Science; Hygiene,,,,,15,15,1,,1,1,,,,"1,948",,,
The Ohio State University,1958,"Education, Higher Education, Universities","Columbus, Ohio, United States","The Ohio State University is a public research university based in Columbus, Ohio.","14,193","Great Lakes, Midwestern US",,,Active,,,,www.osu.edu/,http://twitter.com/OhioState,http://www.facebook.com/osu,http://www.linkedin.com/company/3173,webmaster@newark.ohio-state.edu,800-963-9275,"1,447",,"The Ohio State University is a public research university based in Columbus, Ohio. Founded in 1870, as a land-grant university and ninth university in Ohio with the Morrill Act of 1862, the university was originally known as the Ohio Agricultural and Mechanical College.
The Ohio State University offers undergraduate, graduate, and research programs in the fields of business, social sciences, law, medicine, and public affairs. The college began with a focus on training students in various agricultural and mechanical disciplines but was developed into a comprehensive university under the direction of Governor Rutherford B. Hayes. Along with its main campus in Columbus, Ohio State also operates a regional campus system with regional campuses in Lima, Mansfield, Marion, Newark, and Wooster.
The university is also the home to an extensive student life program, with over 1,000 student organizations; intercollegiate, club and recreational sports programs; student media organizations and publications, fraternities and sororities; and an active student government association. Alumni and former students have gone on to prominent careers in government, business, science, medicine, education, sports, and entertainment.",,,,,,11-50,,458,"Education, Other",1,Rutherford B. Hayes,,2,,2022-08-10,"$26,000,000.0",Grant,,,,"$43,000,000.0","National Science Foundation, Keenan Family Foundation",2,2,,,,,,,,,Private,,,,,,,,,2,"16,996",,-0.6,-1.1,6.1,3,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales, Support","6,818","9,860,398","10,382,537.5",18.69%,552,-12.38%,2.49,0.78%,58.69%,-3.6%,"17,124",-981,-5.42%,12,45,"2,748",109,0,122,,Education; entertainment,,,,2,2,,,,,,,,916,,,
Wayne State University,1868,"Education, Knowledge Management, Universities","Detroit, Michigan, United States","Wayne State University is a public research university located in Detroit, Michigan.","17,155","Greater Detroit Area, Great Lakes, Midwestern US",,,Active,,,,www.wayne.edu/,http://twitter.com/waynestate,http://www.facebook.com/25794202967,https://www.linkedin.com/company/wayne-state-university,,,654,,"Wayne State University is a recognized metropolitan research university that offers undergraduate and graduate degree courses.
Wayne State's comprehensive academic offerings are divided among 13 schools and colleges: the School of Business Administration; the College of Education; the College of Engineering; the College of Fine, Performing, and Communication Arts; the Graduate School; the Law School; the College of Liberal Arts and Sciences; the College of Library and Information Science; the School of Medicine; the College of Nursing; the Eugene Applebaum College of Pharmacy and Health Sciences; the Irvin D. Reid Honors College; and the School of Social Work. 
Wayne State University offers more than 370 academic programs through 13 schools and colleges to nearly 29,000 students. Since 1915, Wayne State University has been accredited by the Higher Learning Commission of the North Central Association of Colleges and Schools, one of six regional accrediting agencies in the United States that provides accreditation to colleges and universities at the institutional level.
Founded in 1868, Wayne State University is the third largest university in the state of Michigan and one of the 30 largest universities in the United States.",,,,,,10001+,,165,"Administrative Services, Education, Other",1,David Mackenzie,,2,,2022-09-09,"$11,300,000.0",Grant,,,,"$12,700,000.0","DTE Energy, National Institute of Environmental Health Sciences",1,2,,,,,,,,,Private,,,,,,,,,1,"17,267",,8.3,8.4,8.4,26,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales, Support","3,579","1,937,066","2,494,105.17",-16.86%,789,-21.57%,5.51,11.29%,36.6%,-14.47%,"64,876","12,944",24.92%,9,13,4,27,513,18,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,,,,,,,,,,400,,,
Purdue University,1869,"Education, Higher Education, Universities","West Lafayette, Indiana, United States","Purdue's main campus is located in West Lafayette, Indiana.","14,629","Great Lakes, Midwestern US",,$1B to $10B,Active,,,,purdue.edu,http://twitter.com/LifeAtPurdue,http://www.facebook.com/PurdueUniversity,http://www.linkedin.com/edu/purdue-university-18357,technews@purdue.edu,(176) 549-4460,"1,655",,"Purdue's main campus is located in West Lafayette, Indiana.In addition to its academic programs offered at Purdue's campuses, the College of Technology offers learning programs at several other locations in the state of Indiana.",,,,,,10001+,,811,"Education, Other",2,"Jessica Huber, John Purdue",,11,,2022-08-04,,Grant,,,,"$24,358,245.0","US Department of Commerce, Economic Development Administation, Algorand Foundation, National Science Foundation, US Department of Energy, U.S. Department of Agriculture",7,7,1,Made Acquisitions,,,,,,,Private,,,,,,,,,3,"17,437",,-0.6,-1.8,-1.5,6,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","4,376","12,521,264","14,974,186.17",11.74%,456,3.87%,2.94,-7.76%,51.3%,-7.12%,"13,767",-58,-0.42%,17,96,"27,817",86,,,,,,,,1,1,,,,,,,,"1,830",,,
Princeton University,1764,"Alumni, Education, Higher Education, Universities","Princeton, New Jersey, United States",Princeton University is a private Ivy League university.,"28,312","East Coast, Northeastern US",,,Active,,,,www.princeton.edu,http://twitter.com/princeton,https://www.facebook.com/PrincetonU/,http://www.linkedin.com/edu/princeton-university-18867,pusocialmedia@princeton.edu,+1 609-258-3000,"2,295",,"One of the oldest and most prestigious universities in the United States, Princeton University is consistently at the forefront of research and academic excellence. This is partially due to its unique approach to education, which stresses the importance of independent study.
Princeton’s undergraduate academics grant bachelor’s degrees in the arts and sciences. In their third and fourth years, all undergraduates must pursue independent research in their chosen field of study. Depending on your major and academic goals, this can vary from a lab research to a creative project.
The graduate school at Princeton University offers a variety of master’s degrees and Ph.D.’s, as well as continuing education programs to suit diverse academic needs. The graduate school does not use a credit-based system, and your department and advisor will determine your curriculum.
Tuition at Princeton is among the most expensive in the country. In light of this, the university aims to support its students with significant financial assistance. Princeton’s need-based financial aid program replaces loans with grants, so that its students won’t be overwhelmed with debt after graduation. These programs and more are available to those who qualify. Tuition costs shouldn’t discourage qualified students to apply to Princeton.
As an Ivy League school, Princeton’s admissions are highly competitive.Contact the school directly for more information and guidance on applying.",,University Program,,,,11-50,,"1,100","Education, Other",1,George W. Taylor,5001-10000,2,,2022-02-15,"$5,500,000.0",Grant,,,,"$7,900,000.0","US Department of Energy, National Institute of Allergy and Infectious Diseases",2,2,,,,,,,,,Private,,,,,,,2022-05-14,,1,"17,531",,4.7,3.5,-0.9,2,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","2,722","5,056,210","5,983,920.33",-2.02%,512,-5.01%,2.44,-7.58%,65.12%,2.44%,"30,469","3,311",12.19%,12,1,,,83,0,Basic Electric Elements,,,,,5,5,1,1,,,,,,"2,248",,,
Flatiron School,2012,"Education, Higher Education, Information Technology, Web Development","New York, New York, United States","The Flatiron School trains highly motivated individuals in web application development. They teach best practices in Ruby, Rails,","16,175","Greater New York Area, East Coast, Northeastern US",Women Led,$50M to $100M,Active,2020-06-30,,,flatironschool.com,http://twitter.com/flatironschool,http://www.facebook.com/FlatironSchool,http://www.linkedin.com/company/the-flatiron-school,info@flatironschool.com,(888) 958-0569,124,,"The Flatiron School trains highly motivated individuals in web application development. They teach best practices in Ruby, Rails, JavaScript, Object-Oriented Design, Git, SQL, Test-Driven Development. Their learning environment includes pair programming, project based discovery, and a relentless focus on teamwork. At the completion of the 12 week program, students will have spent at least 500 hours in a hands-on, intensive learning environment, coding solutions to real problems and working on real projects.",,,,,,251-500,,12,"Education, Information Technology, Software",1,Adam Enbar,,3,M&A,2020-01-21,"$1,200,000.0",Grant,"$9,000,000.0",Series B,"$14,500,000.0","$15,700,000.0","BoxGroup, CRV, Matrix Partners, Thrive Capital, Matrix",3,5,1,"Made Acquisitions, Was Acquired",,,2020-06-30,,Leveraged Buyout,,Private,,,,,,,2021-09-07,2020-05-07,5,"17,619",,-0.3,-0.5,0.0,10,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales",234,"605,850","425,303.5",37.4%,671,-34.54%,3.26,-16.02%,46.77%,-5.74%,"152,854","-27,965",-15.47%,86,,,,,,,,,,,,,,,,,,,,14,,,
Northeastern University,1898,"Education, Knowledge Management, Universities","Boston, Massachusetts, United States",Northeastern University is an experiential and research university that offers a comprehensive range of undergraduate and graduate programs.,"14,888","Greater Boston Area, East Coast, New England",Women Led,$100M to $500M,Active,,,,www.northeastern.edu,http://twitter.com/northeastern,http://www.facebook.com/369463984811,https://www.linkedin.com/school/5274,admissions@neu.edu,1(617) 373-2000,"1,118",,"Northeastern University is an experiential and research university that offers a comprehensive range of undergraduate and graduate programs leading to degrees through doctorate programs in nine colleges and schools, along with select advanced degrees at graduate campuses in Charlotte, North Carolina, and Seattle.
Northeastern University was established in 1898 and is based in Boston, Massachusetts.",,,,,,10001+,,634,"Administrative Services, Education, Other",1,Frank Palmer Speare,,10,,2021-08-24,"$65,000.0",Grant,,,,"$69,799,867.0","Massachusetts Life Sciences Center, Massachusetts Clean Energy Center, Commonwealth Capital Ventures, Andrew W. Mellon Foundation, Commonwealth of Massachusetts",4,6,,,,,,,,,Private,,,,,,,,,24,"17,882",,-0.5,-0.7,-0.1,3,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","4,160","3,575,274","4,513,332.5",-7.52%,485,-13.39%,2.28,-3.81%,62.16%,-0.59%,"40,342","5,832",16.9%,164,7,,,622,29,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,,,,,,,,,,"1,534",,,
The Johns Hopkins University,1876,"Education, Higher Education, Information Technology","Baltimore, Maryland, United States",Johns Hopkins University is a research university that enrolls full and part-time students throughout nine academic divisions.,220,"Greater Baltimore-Maryland Area, East Coast, Southern US",,$1B to $10B,Active,,,,www.jhu.edu/,https://twitter.com/johnshopkins,https://www.facebook.com/johnshopkinsuniversity,https://www.linkedin.com/school/johns-hopkins-university/,,410-516-8000,"2,594",,"Johns Hopkins University is a private research university in Baltimore, Maryland. Founded in 1876, the university was named for its first benefactor, the American entrepreneur, abolitionist, and philanthropist Johns Hopkins. His $7 million bequest (approximately $147.5 million in today's dollars)—of which half financed the establishment of Johns Hopkins Hospital—was the largest philanthropic gift in the history of the United States up to that time. Daniel Coit Gilman, who was inaugurated as the institution's first president on February 22, 1876, led the university to revolutionize higher education in the U.S. by integrating teaching and research. Adopting the concept of a graduate school from Germany's ancient Heidelberg University, Johns Hopkins University is considered the first research university in the United States. Over the course of several decades, the university has led all U.S. universities in annual research and development expenditures. In fiscal year 2016, Johns Hopkins spent nearly $2.5 billion on research.[9] The university has additional graduate campuses in Italy, China, and Washington, D.C., in addition to its main campus in Baltimore, Maryland. The university has been ranked by numerous major education publications as among the top universities in the world.",,"Accelerator, University Program","Early Stage Venture, Seed",Private (Non-Profit),Graduate University,10001+,Online and On Campus,511,"Education, Information Technology",1,Daniel Coit Gilman,10001+,4,,2020-01-21,,Grant,"$65,000,000.0",Venture - Series Unknown,"$65,000,000.0","$185,000,000.0","Deerfield Capital Management, Ludwig Cancer Research",,2,,,,,,,,,Private,,,,,,,2022-01-19,,5,"18,473",,-0.2,1.0,-0.1,18,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","2,960","7,205,541","9,334,884.83",-8.48%,640,-12.93%,3.39,-8.27%,59.93%,4.74%,"22,658","3,678",19.38%,28,15,0,,"4,140",76,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,1,1,,,,,,,,"1,065",,,
Cancer Prevention and Research Institute of Texas,2007,"Consumer Research, Government, Health Care, Health Diagnostics, Market Research, Product Research","Austin, Texas, United States",Cancer Prevention and Research Institute of Texas is a state agency that invests in cancer prevention and academic research.,"30,242",Southern US,,$1M to $10M,Active,,,,www.cprit.state.tx.us/,https://twitter.com/CPRITTexas,https://www.facebook.com/cprittexas,https://www.linkedin.com/company/cancer-prevention-and-research-institute-of-texas/,cprit@cprit.state.tx.us,(512) 463-3190,20,,"Cancer Prevention and Research Institute of Texas is a state agency that invests in cancer prevention and academic research. It's goal is to accelerate innovation in cancer research and product development, and to improve access to evidence-based prevention programs. It also accepts applications and awards grants for a wide variety of cancer-related research and for the delivery of cancer prevention programs and services by public and private entities located in Texas. All CPRIT-funded research will be facilitated in state by Texas-based scientists and reflect the mission to attract and expand the state’s research capabilities and create high quality new jobs in Texas.
Cancer Prevention and Research Institute of Texas was founded on 2007 and is headquartered in Austin, Texas.",,Government Office,,,,,,,"Data and Analytics, Design, Government and Military, Health Care",,,1-10,1,,2018-04-20,"$2,000,000.0",Grant,,,,"$2,000,000.0",,,,,,,,,,,,Private,,,,,,,,,,"18,956",,-0.8,8.4,8.6,7,,,,,,,,,,,,,,,173,,,,,,,,,,,28,34,24,2,12,12,,,,,,,
Holberton School,2015,"EdTech, Education, Higher Education, Software Engineering","San Francisco, California, United States",Holberton School is a project-based alternative to college for the next generation of software engineers.,"15,075","San Francisco Bay Area, West Coast, Western US",,$10M to $50M,Active,2022-07-13,,,www.holbertonschool.com,https://twitter.com/holbertonschool,https://www.facebook.com/HolbertonSchool,https://www.linkedin.com/company/holberton-school,contact@holbertonschool.com,(415)358-0819,44,,"Holberton School is a project-based alternative to college for the next generation of software engineers. It offers a two-year higher-education program to become a full-stack software engineer. Through project-based and peer learning, Holberton students unleash their creativity and naturally learn how to work as a team to solve practical challenges. Its curriculum is 100% hands-on, challenging, and exciting. Holberton students create many programs and systems; they work on industry-level projects and build their own applications.
Holberton School was founded in 2016 by Sylvain Kalache and Julien Barbier with its first campus in San Francisco. Today, it operates 3 other campuses namely in New Haven, Bogotá, and Medellín.",,,,Private (Non-Profit),Trade School,11-50,,,"Education, Science and Engineering, Software",3,"Julien Barbier, Rudy Rigot, Sylvain Kalache",,7,M&A,2021-03-24,"$20,000,000.0",Series B,"$20,000,000.0",Series B,"$32,500,000.0","$32,500,000.0","Insight Partners, Reach Capital, AME Cloud Ventures, Trinity Ventures, Partech",3,20,,Was Acquired,,,2022-07-13,,Acquisition,,Private,,,,,,,,,1,"19,032",,-0.6,-1.7,-0.3,8,"Engineering, Finance, Management, Operations",34,"20,152","59,260.67",-84.37%,931,178.74%,3.29,69.37%,62.05%,12.76%,"1,485,954","1,065,247",253.2%,47,,,39,,,,,,,2021-03-24,,,,,,,,,,1,,,
Drexel University,1891,"E-Learning, Education, Universities","Philadelphia, Pennsylvania, United States","Drexel University is a private research university with three campuses in Philadelphia, Pennsylvania and one in Sacramento, California.","30,920","Greater Philadelphia Area, Great Lakes, Northeastern US",,,Active,,,,www.drexel.edu/,http://twitter.com/DrexelNews,http://www.facebook.com/186291828074120,http://www.linkedin.com/edu/drexel-university-19245,info@drexel.com,(215) 895-2000,583,,"Drexel is a comprehensive global research university ranked among the top 100 in the nation. With approximately 26,000 students, Drexel is one of America's 15 largest private universities.
Drexel has built its global reputation on core achievements that include:
Leadership in experiential learning through Drexel Co-op.
A history of academic technology firsts.
Recognition as a model of best practices in translational, use-inspired research.
Founded in 1891 in Philadelphia, Drexel now engages with students and communities around the world via:
Three Philadelphia campuses and other regional sites.
Drexel University Sacramento
The Academy of Natural Sciences of Drexel University, the nation’s oldest major natural science museum and research organization.
International research partnerships including China and Israel.
Drexel Online, one of the oldest and most successful providers of online degree programs.
Drexel is one of Philadelphia's top 10 employers, and a major engine for economic development in the region. Drexel has committed to being the nation’s most civically engaged university, with community partnerships integrated into every aspect of service and academics.",,,,,,10001+,,332,"Education, Other, Software",1,Anthony Joseph Drexel,,3,,2021-10-14,"$14,400,000.0",Grant,,,,"$21,000,000.0","National Institutes of Health, Lenfest Foundation",2,2,,,,,,,,,Private,,,,,,,,,9,"19,574",,3.4,3.0,1.1,422,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales","2,176","2,590,410","8,959,095",-11.15%,567,-26.55%,3.17,-5.93%,50.53%,-13.45%,"51,825","8,392",19.32%,194,26,2,,712,44,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,,,,,,,,,,772,,,
