Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
"Bond Pet Foods makes pet food from real animal protein, without the animal by working with biotechnology.",Bond Pet Foods,0,14,ORG,
Revolving Games is a mobile game studio that creates and delivers Web3 experiences for gamers.,Revolving Games,0,15,ORG,
Jar is an investment tech startup that allows users to save money and invest in digital gold.,Jar,0,3,PERSON,
Muck Rack is a public relations management platform that enables organizations to connect with journalists to generate media coverage.,Muck Rack,0,9,PERSON,
"Kasisto's enables financial institutions to service, engage, and acquire customers.",Kasisto,0,7,ORG,
"Luminovo is a SaaS provider building the electronics operating system for EMS, OEMs, and distributors to accelerate technological progress.",Luminovo,0,8,ORG,
"Luminovo is a SaaS provider building the electronics operating system for EMS, OEMs, and distributors to accelerate technological progress.",EMS,74,77,ORG,
First Therapeutic Device For The Treatment Of Vertigo.,First,0,5,ORDINAL,
Fair Square Medicare provides a consumer-friendly way for seniors to buy health insurance.,Fair Square Medicare,0,20,FAC,
Graas is a provider of e-commerce solutions.,Graas,0,5,ORG,
Stake Properties is a digital real estate investment platform that helps its users invest in income-generating properties.,Stake Properties,0,16,PERSON,
PriceOye is an eCommerce platform that allows users to compare prices for consumer electronics products.,PriceOye,0,8,ORG,
"Hexarad is a tech-enabled teleradiology that supports the remote reporting of medical scans such as CTs, MRIs and X-rays.",Hexarad,0,7,PERSON,
"Hexarad is a tech-enabled teleradiology that supports the remote reporting of medical scans such as CTs, MRIs and X-rays.",CTs,100,103,ORG,
Ceezer is a digital-first carbon bank that gives companies access to and guidance through the complex voluntary carbon market.,Ceezer,0,6,PERSON,
"3T Biosciences is an immunotherapy company headquartered in Menlo Park, California.",Menlo Park,60,70,GPE,
"3T Biosciences is an immunotherapy company headquartered in Menlo Park, California.",California,72,82,GPE,
Propseller is a real estate agency that offers property owners a reliable way to sell by combining in-house agents with technology.,Propseller,0,10,PERSON,
"Odyssey Energy Solutions is an industry platform to simplify, streamline, and reduce the costs of developing and financing energy projects.",Odyssey Energy Solutions,0,24,ORG,
Harmonic Discovery operates as a pharmaceutical company that develops a platform that combines computing and experimentation.,Harmonic Discovery,0,18,ORG,
Exponent Energy focuses on developing fast charging technology for electric vehicles.,Exponent Energy,0,15,ORG,
ArsenalBio is a programmable cell therapy company that offers advanced CAR T-cell therapies for solid tumors.,ArsenalBio,0,10,ORG,
ArsenalBio is a programmable cell therapy company that offers advanced CAR T-cell therapies for solid tumors.,CAR,71,74,ORG,
Arize AI offers a platform that explains and troubleshoots production AI.,AI,70,72,ORG,
"Ubie is a Tokyo based health-tech startup, that provides AI-based healthcare products, hospital SaaS products, and AI symptom checkers.",Ubie,0,4,ORG,
"Ubie is a Tokyo based health-tech startup, that provides AI-based healthcare products, hospital SaaS products, and AI symptom checkers.",Tokyo,10,15,GPE,
"Ubie is a Tokyo based health-tech startup, that provides AI-based healthcare products, hospital SaaS products, and AI symptom checkers.",AI,57,59,ORG,
Nitra brings all-in-one finance to the traditional industries of America.,one,20,23,CARDINAL,
Nitra brings all-in-one finance to the traditional industries of America.,America,65,72,GPE,
"Telecom, Forestry, IOT, Sensors, Networking, Analytics, Cloud, Environmental, Green","Telecom, Forestry",0,17,ORG,
"Telecom, Forestry, IOT, Sensors, Networking, Analytics, Cloud, Environmental, Green",IOT,19,22,ORG,
"Telecom, Forestry, IOT, Sensors, Networking, Analytics, Cloud, Environmental, Green","Cloud, Environmental, Green",56,83,WORK_OF_ART,
"RentSpree provides software with a universal tenant screening process, renter management, partnership programs, and rental screening API.",RentSpree,0,9,ORG,
"RentSpree provides software with a universal tenant screening process, renter management, partnership programs, and rental screening API.",API,133,136,ORG,
Wayflyer provides funding and marketing analytics to e-commerce businesses.,Wayflyer,0,8,PERSON,
"PROOF is an NFT platform that provides access to private Discord, early access to the PROOF podcast, and in-person events.",NFT,12,15,ORG,
"PROOF is an NFT platform that provides access to private Discord, early access to the PROOF podcast, and in-person events.",Discord,57,64,GPE,
"Apricity is the world’s first at-home fertility clinic, powered by tech and AI. Less stress and more success",first,24,29,ORDINAL,
"Apricity is the world’s first at-home fertility clinic, powered by tech and AI. Less stress and more success",AI,76,78,GPE,
"H2 Green Steel is a producer of green steel, which involves the use of less carbon dioxide emissions compared to traditional steelmaking.",Green Steel,3,14,ORG,
"H2 Green Steel is a producer of green steel, which involves the use of less carbon dioxide emissions compared to traditional steelmaking.",green steel,32,43,ORG,
"Inworld AI is a creative platform for AI-driven virtual characters, immersive realities, and metaverse spaces.",Inworld AI,0,10,ORG,
"Inworld AI is a creative platform for AI-driven virtual characters, immersive realities, and metaverse spaces.",AI,38,40,ORG,
Glints is Southeast Asia’s largest talent platform for career development and recruitment.,Southeast Asia’s,10,26,LOC,
JenaValve is a medical device company focused on the design and development of innovative transcatheter heart valve solutions,JenaValve,0,9,ORG,
Orna Therapeutics is a biotechnology company that specializes in fully engineered circular RNA therapeutics to treat various diseases.,Orna Therapeutics,0,17,PERSON,
"VTS is a real estate CRM software company bringing together landlords, brokers, and tenants to make deals happen.",VTS,0,3,ORG,
"VTS is a real estate CRM software company bringing together landlords, brokers, and tenants to make deals happen.",CRM,21,24,PRODUCT,
Grey provides virtual global bank accounts for Africans for free to receive and make foreign payments or convert currencies.,Grey,0,4,ORG,
Grey provides virtual global bank accounts for Africans for free to receive and make foreign payments or convert currencies.,Africans,47,55,NORP,
"CodeNotary is a software company providing security technology to make the software supply chains and SBOMs secure, trusted and verifiable.",CodeNotary,0,10,ORG,
Abridge is a medical conversation AI startup that offers an audio-based system to record and summarize medical conversations.,AI,34,36,GPE,
VerifyVASP provides Regulatory Technology (RegTech) solutions to Virtual Assets Service Providers (VASPs) for Travel Rule.,Regulatory Technology,20,41,ORG,
VerifyVASP provides Regulatory Technology (RegTech) solutions to Virtual Assets Service Providers (VASPs) for Travel Rule.,RegTech,43,50,ORG,
VerifyVASP provides Regulatory Technology (RegTech) solutions to Virtual Assets Service Providers (VASPs) for Travel Rule.,Virtual Assets Service Providers,65,97,ORG,
VerifyVASP provides Regulatory Technology (RegTech) solutions to Virtual Assets Service Providers (VASPs) for Travel Rule.,Travel Rule,110,121,PERSON,
Theranica is an Israeli biomedical technology company focused on developing electronic and wireless communication technology.,Theranica,0,9,PERSON,
Theranica is an Israeli biomedical technology company focused on developing electronic and wireless communication technology.,Israeli,16,23,NORP,
marta provides software for the live-in care market that empowers caregivers and helps our seniors to age in dignity.,marta,0,5,GPE,
StarTree is a startup building a platform-as-service version of the Apache Pinot analytics platform.,Apache Pinot,68,80,PRODUCT,
El-Dokan is an enterprise e-commerce software designed for large and growing retail stores in MENA.,El-Dokan,0,8,ORG,
El-Dokan is an enterprise e-commerce software designed for large and growing retail stores in MENA.,MENA,94,98,ORG,
SubsBase offers comprehensive subscription management and billing solutions that help businesses acquire and retain more customers.,SubsBase,0,8,ORG,
Flair makes smart vents and wireless thermostats and advanced software for residential heating and cooling.,Flair,0,5,ORG,
International Payments Identity(IPiD) is a international payments addressing platform.,International Payments Identity(IPiD,0,36,ORG,
Lunar Energy builds clean energy products to deliver home electrification at scale.,Lunar Energy,0,12,ORG,
"Falkon AI is an intelligence platform for marketing, sales, and account management teams.",Falkon AI,0,9,PERSON,
Revolving Games is a mobile game studio that creates and delivers Web3 experiences for gamers.,Revolving Games,0,15,ORG,
Animoca Brands KK support the global strategy of Web3.0 for Japanese intellectual property and content (IP) holders.,Animoca Brands KK,0,17,ORG,
Animoca Brands KK support the global strategy of Web3.0 for Japanese intellectual property and content (IP) holders.,Web3.0,49,55,ORG,
Animoca Brands KK support the global strategy of Web3.0 for Japanese intellectual property and content (IP) holders.,Japanese,60,68,NORP,
Animoca Brands KK support the global strategy of Web3.0 for Japanese intellectual property and content (IP) holders.,IP,104,106,ORG,
Jobbatical is an AI-enabled immigration and relocation platform focused on making immigration easy.,AI,17,19,ORG,
ADT is a security company that provides smart home solutions and business security.,ADT,0,3,ORG,
Delli offers a variety of food and beverages.,Delli,0,5,PERSON,
Carbon Direct combines scientific expertise and financial capital to scale carbon removal and utilization into a major global industry.,Carbon Direct,0,13,PRODUCT,
Pixxel is a space data company that develops a constellation of hyperspectral earth imaging satellites.,Pixxel,0,6,ORG,
Zumper is a software platform that connects people with real estate rental properties.,Zumper,0,6,ORG,
ILiAD is a clinical stage biotechnology company focused on the prevention and treatment of disease caused by Bordetella Pertussis.,ILiAD,0,5,ORG,
ILiAD is a clinical stage biotechnology company focused on the prevention and treatment of disease caused by Bordetella Pertussis.,Bordetella Pertussis,109,129,ORG,
Loopworm is a developer of a technology intended to create a protein diet for fisheries and poultry farms.,Loopworm,0,8,PERSON,
"Tesseract offers commission-free energy; 10x cheaper; 10x better, and 100 percent renewable energy.",10x,41,44,DATE,
"Tesseract offers commission-free energy; 10x cheaper; 10x better, and 100 percent renewable energy.",10x,54,57,DATE,
"Tesseract offers commission-free energy; 10x cheaper; 10x better, and 100 percent renewable energy.",100 percent,70,81,PERCENT,
"CertifyOS is an API-driven platform automating all stages of provider network management: licensing, enrollment, credentialing, monitoring.",API,16,19,ORG,
"CertifyOS is an API-driven platform automating all stages of provider network management: licensing, enrollment, credentialing, monitoring.",enrollment,101,111,GPE,
Belvo is the open finance API platform that enables users to connect their accounts to an app.,Belvo,0,5,ORG,
Belvo is the open finance API platform that enables users to connect their accounts to an app.,API,26,29,ORG,
Shiprocket is an e-commerce shipping platform that enables cost-effective shipping for direct-to-consumer retailers.,Shiprocket,0,10,ORG,
"Zeet is a developer-focused application platform that deploys code or app to AWS, GCP, and other cloud providers.",AWS,77,80,ORG,
"Zeet is a developer-focused application platform that deploys code or app to AWS, GCP, and other cloud providers.",GCP,82,85,ORG,
Zero Emission Industries offers a complete range of hydrogen powered energy systems.,Emission Industries,5,24,ORG,
Qcells provides the key figures that make us the best choice for your investment into a qualified solar solution.,Qcells,0,6,ORG,
"Wondermind helps people care for their mental health via daily content, CPG products, and storytelling.",CPG,72,75,ORG,
"Klavi is a developer of an open finance platform for data aggregation, analytics, and API services.",Klavi,0,5,ORG,
"Klavi is a developer of an open finance platform for data aggregation, analytics, and API services.",API,86,89,ORG,
Solsten is an AI firm engaged in understanding human behavior in the digital world to power the future of customer experience.,Solsten,0,7,PERSON,
Solsten is an AI firm engaged in understanding human behavior in the digital world to power the future of customer experience.,AI,14,16,GPE,
AstriVax,AstriVax,0,8,ORG,
Dian Xiaomi provides one-stop services for global e-commerce sellers.,Dian Xiaomi,0,11,PERSON,
Dian Xiaomi provides one-stop services for global e-commerce sellers.,one,21,24,CARDINAL,
Diveplane develops an AI-based platform that is faster than current off-the-shelf solutions and can train on significantly less data.,Diveplane,0,9,ORG,
Diveplane develops an AI-based platform that is faster than current off-the-shelf solutions and can train on significantly less data.,AI,22,24,GPE,
Xepelin provides financial services for small and medium-sized business.,Xepelin,0,7,GPE,
"Varjo makes advanced VR/XR hardware and software for industrial use, paving the way for a true-to-life metaverse.",Varjo,0,5,ORG,
"Varjo makes advanced VR/XR hardware and software for industrial use, paving the way for a true-to-life metaverse.",VR,21,23,ORG,
"BigPanda offers a platform that helps IT Ops, NOC, and DevOps teams detect, investigate, and resolve IT incidents faster and more easily.",BigPanda,0,8,ORG,
"BigPanda offers a platform that helps IT Ops, NOC, and DevOps teams detect, investigate, and resolve IT incidents faster and more easily.",NOC,46,49,ORG,
"BigPanda offers a platform that helps IT Ops, NOC, and DevOps teams detect, investigate, and resolve IT incidents faster and more easily.",DevOps,55,61,ORG,
EarlySalary.com is a new FinTech start-up in Pune. We are here to help you from being broke.,FinTech,25,32,ORG,
EarlySalary.com is a new FinTech start-up in Pune. We are here to help you from being broke.,Pune,45,49,ORG,
Fervo Energy is a developer of proprietary clean energy technology to generate power from enhanced geothermal systems.,Fervo Energy,0,12,ORG,
"Power Life Science is a patient-friendly platform that provides access to clinical trials by condition, location, and drug type.",Power Life Science,0,18,ORG,
TeamApt is a financial technology company that develops digital banking and payment platform for financial transactions.,TeamApt,0,7,ORG,
Convertedin is an ad automation platform for ecommerce businesses using AI.,Convertedin,0,11,PERSON,
Convertedin is an ad automation platform for ecommerce businesses using AI.,AI,72,74,ORG,
OneSignal is a customer messaging and engagement platform that allows businesses to create meaningful customer connections.,OneSignal,0,9,ORG,
"AdvanCell is radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment.",AdvanCell,0,9,ORG,
"AdvanCell is radiopharmaceutical firm that has developed the Targeted Alpha Therapy platform technology, a cutting-edge cancer treatment.",the Targeted Alpha Therapy,57,83,ORG,
Protex AI develops an AI-powered proactive health and safety technology that enables an injury-free industrial workplace.,Protex AI,0,9,ORG,
Protex AI develops an AI-powered proactive health and safety technology that enables an injury-free industrial workplace.,AI,22,24,ORG,
Awign is a work fulfillment platform that specializes in the gig workforce and provides last-mile delivery services.,last-mile,88,97,QUANTITY,
Xeneta is an ocean freight rate benchmarking and market intelligence platform and index.,Xeneta,0,6,GPE,
Zywa is the first neobank for teenagers in the Middle East and North Africa region,Zywa,0,4,PERSON,
Zywa is the first neobank for teenagers in the Middle East and North Africa region,first,12,17,ORDINAL,
Zywa is the first neobank for teenagers in the Middle East and North Africa region,the Middle East,43,58,LOC,
Zywa is the first neobank for teenagers in the Middle East and North Africa region,North Africa,63,75,GPE,
"NowNow is a digital banking platform whose mission is to deliver best in class financial services for Agents, Consumers and Businesses.",NowNow,0,6,ORG,
Trek Health builds foundational software that empowers mental health providers.,Trek Health,0,11,ORG,
Carzami is an online platform that solves the hectic process of buying and selling used cars from the comfort of your homes.,Carzami,0,7,ORG,
True Food Kitchen is a 42-unit restaurant and lifestyle brand serving foods crafted to nutritional standards.,42,23,25,CARDINAL,
PeakData is a software platform to identify and analyze key opinion leaders in your therapeutic area.,PeakData,0,8,ORG,
RedStone is a next-generation cross-chain data oracle providing pricing data for financial protocols.,RedStone,0,8,ORG,
Gokomodo is a supply Chain Platform and Services for Agribusiness and Commodities.,Gokomodo,0,8,ORG,
Gokomodo is a supply Chain Platform and Services for Agribusiness and Commodities.,Chain Platform and Services for Agribusiness and Commodities,21,81,ORG,
"We are The Financial Experience Company. We work with FIs, Employers, and Fintechs to delight customers and make money more awesome.",The Financial Experience Company,7,39,ORG,
"We are The Financial Experience Company. We work with FIs, Employers, and Fintechs to delight customers and make money more awesome.",Fintechs,74,82,ORG,
KeyCare is a virtual care platform powered by Epic created to support progressive health systems.,KeyCare,0,7,ORG,
KeyCare is a virtual care platform powered by Epic created to support progressive health systems.,Epic,46,50,ORG,
Metaverse Magna is a blockchain gaming platform that is maximizing value across the gaming ecosystem.,Metaverse Magna,0,15,PERSON,
"Wombat is a curated fractional thematic investment platform that allows people to invest in the brands they understand, use and love.",Wombat,0,6,ORG,
Senda Biosciences is a therapeutics platform company leveraging unprecedented insights into the molecular connections between humans.,Senda Biosciences,0,17,PERSON,
"Mermade an Israeli company that grows oysters from cells in a lab, says it can mitigate the sticky shock by using technology.",Israeli,11,18,NORP,
"Gunzilla Games is an independent, innovative, and player-focused developer of AAA games.",Gunzilla Games,0,14,ORG,
"Gunzilla Games is an independent, innovative, and player-focused developer of AAA games.",AAA,78,81,ORG,
Lightyear is a tech company that develops scalable grid-independent solar electric vehicles.,Lightyear,0,9,ORG,
Lumafield is an accessible X-ray CT platform that gives engineers better insights into product development and manufacturing.,Lumafield,0,9,GPE,
Mavenoid develops an AI-driven product support and troubleshooting platform for hardware companies.,Mavenoid,0,8,ORG,
"StayVista is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""",StayVista,0,9,ORG,
"StayVista is a South Asia's largest luxury holiday home rental management company. We are on a mission to build the ""Marriott for Homes""",South Asia's,15,27,LOC,
Zelluna Immunotherapy is a privately owned Norwegian biopharmaceutical company.,Zelluna Immunotherapy,0,21,PERSON,
Zelluna Immunotherapy is a privately owned Norwegian biopharmaceutical company.,Norwegian,43,52,NORP,
Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases.,Insilico Medicine,0,17,ORG,
Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases.,AI,30,32,GPE,
Neutral is a carbon-neutral food company that builds a sustainable carbon-neutral food ecosystem starting with milk and a half and half.,a half and half,120,135,DATE,
Flossy is a dental platform that offers patients access to high-quality dental care at an affordable price.,Flossy,0,6,ORG,
Zilla Security is an early-stage security startup that provides software-as-a-service security management platform.,Zilla Security,0,14,ORG,
Pattern Ag provides soil microbiome analysis and recommendations for input optimization on farms.,Pattern Ag,0,10,ORG,
"Anchor is a banking-as-a-service platform for African businesses to build, embed, and launch financial products.",Anchor,0,6,LOC,
"Anchor is a banking-as-a-service platform for African businesses to build, embed, and launch financial products.",African,46,53,NORP,
"Bridger Photonics is a LiDAR solutions provider, enabling new capabilities and improving efficiency for industrial sensor applications.",Bridger Photonics,0,17,PERSON,
Cultivated Biosciences is a Food Production Company.,a Food Production Company,26,51,ORG,
"Truework is a one-stop platform that helps banks, lenders, and others verify income and employment.",Truework,0,8,GPE,
"Truework is a one-stop platform that helps banks, lenders, and others verify income and employment.",one,14,17,CARDINAL,
"ArabyAds is an ad-tech company that offers a full range of services including online marketing, creative function, advertising and more.",ArabyAds,0,8,ORG,
AIRS Medical is an MRI reconstruction software service provider.,AIRS Medical,0,12,ORG,
Roleshare’s Enterprise Platform retains and attracts talent seeking flex through shared jobs.,Roleshare’s Enterprise Platform,0,31,ORG,
"Upfront Healthcare is a developer of patient navigation platform designed to combine analytics, dynamic content, and automated outreach.",Upfront Healthcare,0,18,ORG,
Solid is a one-stop shop that offers a fully integrated and compliant suite of fintech services.,one,11,14,CARDINAL,
Be Group is a transportation company that offers logistics delivery and transportation.,Be Group,0,8,ORG,
Explo operates a data exploration and analysis platform to connect directly to database or warehouse sources.,Explo,0,5,ORG,
Netspeak Games operates as a zero-crunch studio that develops online multiplayer games.,Netspeak Games,0,14,PERSON,
Netspeak Games operates as a zero-crunch studio that develops online multiplayer games.,zero,29,33,CARDINAL,
"Puna Bio develops biological inputs for agriculture that increase yields, reduce carbon emissions, and restore degraded soil.",Puna Bio,0,8,ORG,
Blue World Technologies is a fuel cell manufacturer especially in methanol fuel cells as an alternative to non-renewable fuels.,Blue World Technologies,0,23,ORG,
Octiv is a well-known platform for gym management software.,Octiv,0,5,PERSON,
HealthAssure is a healthtech startup that aggregates primary healthcare services and OPD insurance for corporates and individuals.,OPD,85,88,ORG,
Ryvu is a biopharmaceutical company developing small molecule therapies that address clinical limitations of current treatments in oncology.,Ryvu,0,4,PERSON,
Next-generation blockchain document management system (DMS),DMS,55,58,ORG,
Ready Player Me develops a cross-game avatar platform for the metaverse.,Ready Player Me,0,15,PERSON,
Kippa is a mobile app for African small company owners and bookkeepers that replaces physical record books.,African,26,33,NORP,
Invisible Universe is an internet-first animation studio that develops original character IP on social media and web3 platforms.,Universe,10,18,PERSON,
Invisible Universe is an internet-first animation studio that develops original character IP on social media and web3 platforms.,IP,90,92,ORG,
Safeheron is a platform that enables open and transparent self-custody of digital assets.,Safeheron,0,9,ORG,
Nanopath Inc. is a molecular diagnostics company enabling high-quality molecular testing in minutes.,Nanopath Inc.,0,13,ORG,
Nanopath Inc. is a molecular diagnostics company enabling high-quality molecular testing in minutes.,minutes,92,99,TIME,
CuriMeta is a real-world health data firm with a focus on life sciences.,CuriMeta,0,8,ORG,
BalkanID has developed the industry’s first AI-Powered Identity Governance and Administration (IGA) platform.,first,38,43,ORDINAL,
Agave Games is a mobile games publishing company and provides unique experiences,Agave Games,0,11,EVENT,
Sharwa is a social E-commerce Platform.,Sharwa,0,6,PERSON,
"3D Issue is a publishing platform for designing and deploying interactive digital editions, content centers, and branded apps.",3D Issue,0,8,ORG,
iProcure is a Kenyan startup focused on optimizing rural supply chains.,iProcure,0,8,ORG,
iProcure is a Kenyan startup focused on optimizing rural supply chains.,Kenyan,14,20,NORP,
Cygni Energy is a manufacturer of energy storage devices for commercial and institutional customers.,Cygni Energy,0,12,PERSON,
Modern Real Estate Investment Management,Modern Real Estate Investment Management,0,40,ORG,
Fair.xyz leverage the industry experience to build the best consumer products in Web3.,Web3,81,85,LOC,
VendorPM connects Property Managers with reputable Vendors.,Property Managers,18,35,ORG,
VendorPM connects Property Managers with reputable Vendors.,Vendors,51,58,ORG,
Sofy is a no-code test automation platform that enables end-to-end testing from the CI/CD pipeline on real devices.,CI,84,86,ORG,
Clip is the leading digital payments and commerce enablement platform in Mexico.,Mexico,73,79,GPE,
Liefergrün is a technology platform striving for the most convenient and sustainable delivery experience in e-commerce.,Liefergrün,0,10,ORG,
Learnsoft is a national leader in providing organizations with fully integrated learning solutions.,Learnsoft,0,9,ORG,
Ryft is the payment platform allowing marketplaces and digital platforms to scale within Web 3.0.,3.0,93,96,CARDINAL,
"Focal Point has developed next generation navigation and positioning software for smartphones, wearables and autonomous vehicles.",Focal Point,0,11,ORG,
"Access Capital Partners is a manager and advisor of private equity, private debt, and infrastructure funds and mandates.",Access Capital Partners,0,23,ORG,
"EeroQ is a quantum hardware start-up based in New York and Lansing, Michigan.",New York,46,54,GPE,
"EeroQ is a quantum hardware start-up based in New York and Lansing, Michigan.",Lansing,59,66,GPE,
"EeroQ is a quantum hardware start-up based in New York and Lansing, Michigan.",Michigan,68,76,GPE,
"Scalenut is an AI-powered content research and writing tool for original, high-ranking, long and short-form content.",AI,15,17,ORG,
Ultraviolette Automotive is a developer of electric two-wheeler vehicles offering clean energy and sustainable transportation to customers.,Ultraviolette Automotive,0,24,ORG,
Ultraviolette Automotive is a developer of electric two-wheeler vehicles offering clean energy and sustainable transportation to customers.,two,52,55,CARDINAL,
Bankme is a fintech that creates and operates mini banks for companies.,Bankme,0,6,ORG,
Usko Privacy provides a suite of analytics tools that enable consumers to monitor their spending.,Usko Privacy,0,12,ORG,
"Bitmama is a crypto-fiat exchange that allows traders to buy and sell Bitcoin, Ethereum, and other digital assets.","Bitcoin, Ethereum",70,87,ORG,
LANDE is a crowdfunding platform focused on financing the agricultural sector.,LANDE,0,5,ORG,
"Prellis employs holographic tissue printing technology with fully human antibody discovery, in vitro human disease and ADME/Tox models.",Prellis,0,7,PERSON,
"Prellis employs holographic tissue printing technology with fully human antibody discovery, in vitro human disease and ADME/Tox models.",ADME,119,123,ORG,
Fora is a travel agency that offers advisor-curated travel guides for destinations near and far.,Fora,0,4,PERSON,
DriveX digital platform helps in buying or renting pre-loved two-wheelers with quality checks and hassle-free documentation.,two,61,64,CARDINAL,
LiveEO is a real-time earth observation application that makes use of the synergies of EO data and geolocation services.,EO,87,89,ORG,
Waysia develops an application for ordering and delivering food.,Waysia,0,6,GPE,
Pomelo is a fintech startup combining credit and international money transfer in one unified product.,Pomelo,0,6,PERSON,
Pomelo is a fintech startup combining credit and international money transfer in one unified product.,one,81,84,CARDINAL,
Nreal is a developer of ready-to-wear mixed reality glasses.,Nreal,0,5,ORG,
FathomX is a Medical Imaging AI Spin-Off for breast cancer analysis from the National University of Singapore,a Medical Imaging AI Spin-Off,11,40,ORG,
FathomX is a Medical Imaging AI Spin-Off for breast cancer analysis from the National University of Singapore,the National University of Singapore,73,109,ORG,
Trial Library is an oncology clinical trials company.,Trial Library,0,13,PERSON,
Bravo Sierra is a military-native performance wellness company focused on personal care.,Bravo Sierra,0,12,PERSON,
Justhome operates as a home financing platform.,Justhome,0,8,ORG,
Adwoa Beauty is a beauty and hair care company located in Dallas.,Adwoa Beauty,0,12,PERSON,
Adwoa Beauty is a beauty and hair care company located in Dallas.,Dallas,58,64,GPE,
Forage is a payment processor that authenticates and processes EBT transactions.,EBT,63,66,ORG,
DataProphet is a developer of machine learning and AI technology to serve the manufacturing industry.,DataProphet,0,11,ORG,
DataProphet is a developer of machine learning and AI technology to serve the manufacturing industry.,AI,51,53,ORG,
Hillridge Technology helps farmers mitigate the financial impact of poor weather on their crops or livestock.,Hillridge Technology,0,20,ORG,
"Edutech, Education Technology",Edutech,0,7,ORG,
Advanced materials development and manufacture for Li-ion Battery electrodes,Battery,58,65,LOC,
"CreatorDAO is a decentralized community that invests in creators by providing capital, technology, and operational support.",CreatorDAO,0,10,PRODUCT,
KarmSolar is a private off-grid solar energy integrator in Egypt.,KarmSolar,0,9,ORG,
